iter	Passed	Remaining
323	1777	3708
324	1782	3702
325	1787	3695
326	1793	3690
327	1797	3683
328	1802	3676
329	1808	3670
330	1813	3664
331	1818	3658
332	1823	3652
333	1829	3647
334	1834	3641
335	1839	3634
336	1846	3631
337	1851	3625
338	1857	3622
339	1862	3615
340	1869	3612
341	1874	3606
342	1880	3602
343	1885	3595
344	1889	3587
345	1895	3582
346	1900	3575
347	1904	3569
348	1910	3563
349	1914	3555
350	1919	3550
351	1925	3543
352	1929	3536
353	1935	3531
354	1939	3524
355	1946	3520
356	1952	3516
357	1957	3510
358	1963	3505
359	1967	3497
360	1973	3492
361	1978	3486
362	1983	3479
363	1988	3474
364	1993	3468
365	1999	3463
366	2003	3456
367	2008	3449
368	2013	3442
369	2018	3436
370	2023	3431
371	2028	3424
372	2034	3419
373	2039	3413
374	2043	3406
375	2049	3401
376	2054	3395
377	2059	3389
378	2066	3385
379	2070	3378
380	2076	3373
381	2081	3367
382	2086	3361
383	2091	3355
384	2096	3348
385	2101	3343
386	2106	3336
387	2111	3330
388	2116	3324
389	2121	3318
390	2127	3313
391	2131	3306
392	2136	3299
393	2142	3294
394	2147	3288
395	2152	3283
396	2157	3277
397	2162	3270
398	2167	3265
399	2172	3259
400	2178	3253
401	2183	3247
402	2188	3241
403	2193	3235
404	2198	3229
405	2203	3224
406	2208	3217
407	2213	3211
408	2219	3206
409	2223	3200
410	2230	3196
411	2235	3190
412	2240	3184
413	2246	3179
414	2250	3172
415	2257	3168
416	2262	3162
417	2267	3156
418	2272	3150
419	2276	3144
420	2283	3139
421	2287	3132
422	2293	3127
423	2297	3121
424	2302	3114
425	2308	3109
426	2312	3103
427	2317	3096
428	2323	3092
429	2328	3086
430	2333	3081
431	2338	3075
432	2344	3069
433	2349	3064
434	2354	3058
435	2359	3052
436	2364	3046
437	2369	3040
438	2374	3033
439	2379	3028
440	2384	3022
441	2389	3016
442	2394	3011
443	2399	3005
444	2405	2999
445	2409	2993
446	2414	2987
447	2420	2982
448	2424	2975
449	2429	2969
450	2434	2963
451	2438	2956
452	2445	2952
453	2450	2946
454	2455	2941
455	2460	2935
456	2465	2929
457	2470	2923
458	2475	2917
459	2479	2911
460	2485	2906
461	2490	2900
462	2495	2894
463	2500	2888
464	2505	2882
465	2511	2877
466	2516	2871
467	2521	2866
468	2526	2860
469	2530	2854
470	2536	2849
471	2541	2842
472	2546	2837
473	2551	2831
474	2556	2825
475	2562	2820
476	2566	2814
477	2571	2808
478	2576	2802
479	2581	2796
480	2586	2791
481	2591	2785
482	2596	2778
483	2602	2774
484	2607	2768
485	2612	2763
486	2617	2756
487	2622	2751
488	2627	2745
489	2632	2739
490	2637	2734
491	2642	2728
492	2646	2722
493	2652	2717
494	2658	2711
495	2663	2706
496	2668	2700
497	2672	2694
498	2678	2688
499	2683	2683
500	2688	2677
501	2693	2672
502	2698	2666
503	2704	2661
504	2709	2655
505	2714	2650
506	2720	2645
507	2725	2639
508	2731	2634
509	2736	2628
510	2741	2623
511	2746	2617
512	2751	2612
513	2756	2606
514	2761	2600
515	2767	2595
516	2772	2589
517	2776	2583
518	2782	2578
519	2787	2572
520	2792	2567
521	2797	2561
522	2802	2555
523	2807	2550
524	2812	2544
525	2816	2538
526	2822	2533
527	2826	2526
528	2832	2522
529	2837	2516
530	2842	2510
531	2847	2505
532	2852	2499
533	2858	2494
534	2862	2488
535	2867	2482
536	2874	2478
537	2878	2472
538	2884	2466
539	2889	2461
540	2893	2455
541	2899	2449
542	2903	2443
543	2908	2438
544	2913	2432
545	2918	2426
546	2924	2421
547	2929	2416
548	2935	2411
549	2940	2405
550	2945	2400
551	2951	2395
552	2955	2389
553	2961	2384
554	2966	2378
555	2972	2373
556	2977	2367
557	2982	2362
558	2989	2358
559	2994	2353
560	3001	2348
561	3006	2343
562	3012	2338
563	3017	2332
564	3022	2327
565	3028	2321
566	3033	2316
567	3039	2311
568	3045	2306
569	3051	2301
570	3056	2296
571	3062	2291
572	3067	2285
573	3072	2280
574	3077	2274
575	3082	2269
576	3087	2263
577	3093	2258
578	3098	2252
579	3103	2247
580	3108	2241
581	3113	2236
582	3119	2231
583	3124	2225
584	3129	2220
585	3134	2214
586	3139	2209
587	3145	2203
588	3150	2198
589	3156	2193
590	3161	2188
591	3167	2183
592	3172	2177
593	3178	2172
594	3183	2166
595	3187	2160
596	3193	2155
597	3198	2150
598	3203	2144
599	3208	2139
600	3213	2133
601	3219	2128
602	3224	2122
603	3230	2117
604	3235	2112
605	3240	2106
606	3245	2101
607	3250	2095
608	3255	2090
609	3260	2084
610	3265	2078
611	3270	2073
612	3275	2067
613	3279	2061
614	3285	2056
615	3290	2051
616	3295	2045
617	3300	2040
618	3304	2034
619	3310	2029
620	3315	2023
621	3320	2018
622	3325	2012
623	3330	2006
624	3336	2001
625	3340	1995
626	3345	1990
627	3351	1985
628	3356	1979
629	3362	1974
630	3366	1968
631	3371	1963
632	3377	1958
633	3382	1952
634	3388	1947
635	3393	1941
636	3398	1936
637	3403	1931
638	3408	1925
639	3414	1920
640	3418	1914
641	3423	1909
642	3428	1903
643	3433	1898
644	3439	1892
645	3444	1887
646	3449	1882
647	3454	1876
648	3458	1870
649	3464	1865
650	3468	1859
651	3473	1854
652	3478	1848
653	3483	1843
654	3488	1837
655	3494	1832
656	3499	1826
657	3504	1821
658	3509	1815
659	3514	1810
660	3519	1805
661	3524	1799
662	3529	1794
663	3534	1788
664	3539	1782
665	3543	1777
666	3548	1771
667	3553	1766
668	3558	1760
669	3563	1755
670	3568	1749
671	3573	1744
672	3578	1738
673	3583	1733
674	3588	1727
675	3594	1722
676	3598	1716
677	3603	1711
678	3609	1706
679	3614	1700
680	3619	1695
681	3625	1690
682	3631	1685
683	3635	1679
684	3640	1674
685	3646	1668
686	3651	1663
687	3656	1658
688	3661	1652
689	3666	1647
690	3671	1641
691	3676	1636
692	3680	1630
693	3685	1624
694	3690	1619
695	3695	1614
696	3699	1608
697	3704	1603
698	3709	1597
699	3715	1592
700	3720	1586
701	3725	1581
702	3731	1576
703	3735	1570
704	3740	1565
705	3745	1559
706	3750	1554
707	3756	1549
708	3761	1543
709	3766	1538
710	3771	1533
711	3776	1527
712	3781	1522
713	3786	1516
714	3791	1511
715	3796	1505
716	3801	1500
717	3805	1494
718	3810	1489
719	3815	1483
720	3820	1478
721	3825	1472
722	3830	1467
723	3835	1462
724	3840	1456
725	3846	1451
726	3851	1446
727	3855	1440
728	3861	1435
729	3866	1429
730	3871	1424
731	3876	1419
732	3881	1413
733	3887	1408
734	3892	1403
735	3897	1397
736	3902	1392
737	3907	1387
738	3912	1381
739	3917	1376
740	3923	1371
741	3928	1365
742	3932	1360
743	3939	1355
744	3943	1349
745	3949	1344
746	3954	1339
747	3958	1333
748	3964	1328
749	3968	1322
750	3974	1317
751	3979	1312
752	3984	1307
753	3990	1301
754	3994	1296
755	4000	1291
756	4005	1285
757	4009	1280
758	4029	1279
759	4033	1273
760	4038	1268
761	4043	1262
762	4047	1257
763	4053	1252
764	4058	1246
765	4063	1241
766	4068	1235
767	4073	1230
768	4079	1225
769	4084	1220
770	4089	1214
771	4095	1209
772	4099	1203
773	4105	1198
774	4110	1193
775	4116	1188
776	4121	1182
777	4125	1177
778	4131	1172
779	4136	1166
780	4140	1161
781	4146	1155
782	4150	1150
783	4156	1145
784	4161	1139
785	4166	1134
786	4172	1129
787	4177	1123
788	4184	1118
789	4189	1113
790	4194	1108
791	4199	1102
792	4204	1097
793	4210	1092
794	4215	1086
795	4220	1081
796	4226	1076
797	4230	1070
798	4236	1065
799	4241	1060
800	4246	1055
801	4251	1049
802	4256	1044
803	4262	1039
804	4267	1033
805	4274	1028
806	4279	1023
807	4285	1018
808	4290	1013
809	4295	1007
810	4301	1002
811	4306	996
812	4311	991
813	4316	986
814	4321	981
815	4327	975
816	4332	970
817	4338	965
818	4342	959
819	4347	954
820	4352	949
821	4357	943
822	4363	938
823	4368	933
824	4373	927
825	4379	922
826	4384	917
827	4389	911
828	4394	906
829	4399	901
830	4404	895
831	4409	890
832	4415	885
833	4420	879
834	4425	874
835	4430	869
836	4435	863
837	4441	858
838	4445	853
839	4450	847
840	4456	842
841	4461	837
842	4466	831
843	4471	826
844	4476	821
845	4482	816
846	4487	810
847	4493	805
848	4498	800
849	4503	794
850	4508	789
851	4513	784
852	4518	778
853	4523	773
854	4528	767
855	4534	762
856	4539	757
857	4544	752
858	4549	746
859	4555	741
860	4560	736
861	4565	730
862	4571	725
863	4576	720
864	4581	715
865	4586	709
866	4591	704
867	4597	699
868	4602	693
869	4607	688
870	4612	683
871	4618	677
872	4623	672
873	4628	667
874	4634	662
875	4639	656
876	4644	651
877	4650	646
878	4655	640
879	4661	635
880	4666	630
881	4671	625
882	4677	619
883	4682	614
884	4689	609
885	4693	603
886	4699	598
887	4704	593
888	4708	587
889	4714	582
890	4719	577
891	4724	572
892	4729	566
893	4735	561
894	4740	556
895	4745	550
896	4752	545
897	4756	540
898	4762	535
899	4767	529
900	4772	524
901	4778	519
902	4783	513
903	4789	508
904	4794	503
905	4800	498
906	4806	492
907	4811	487
908	4817	482
909	4822	476
910	4827	471
911	4833	466
912	4837	461
913	4843	455
914	4848	450
915	4853	445
916	4858	439
917	4863	434
918	4869	429
919	4874	423
920	4879	418
921	4884	413
922	4889	407
923	4894	402
924	4899	397
925	4904	391
926	4909	386
927	4914	381
928	4920	376
929	4925	370
930	4930	365
931	4935	360
932	4940	354
933	4946	349
934	4951	344
935	4956	338
936	4962	333
937	4966	328
938	4972	323
939	4977	317
940	4982	312
941	4987	307
942	4993	301
943	4998	296
944	5003	291
945	5009	285
946	5013	280
947	5019	275
948	5024	269
949	5028	264
950	5034	259
951	5038	254
952	5044	248
953	5049	243
954	5055	238
955	5060	232
956	5065	227
957	5071	222
958	5076	217
959	5081	211
960	5087	206
961	5091	201
962	5097	195
963	5102	190
964	5108	185
965	5113	179
966	5118	174
967	5123	169
968	5128	164
969	5133	158
970	5138	153
971	5144	148
972	5150	142
973	5154	137
974	5160	132
975	5166	127
976	5171	121
977	5176	116
978	5181	111
979	5187	105
980	5192	100
981	5198	95
982	5203	89
983	5208	84
984	5213	79
985	5218	74
986	5223	68
987	5228	63
988	5233	58
989	5238	52
990	5244	47
991	5251	42
992	5256	37
993	5261	31
994	5267	26
995	5271	21
996	5278	15
997	5283	10
998	5288	5
999	5294	0
