iter	RMSE
148	531.2575032
149	530.9736338
150	530.5689152
151	530.1682124
152	529.694359
153	529.1628689
154	528.7820928
155	528.5537221
156	528.2070213
157	527.5678035
158	527.3279305
159	526.9488905
160	526.6531577
161	525.5274582
162	525.0711488
163	524.9265158
164	524.0613099
165	523.9380546
166	523.6177123
167	523.4147314
168	522.6995637
169	522.5487972
170	521.8920853
171	521.4076223
172	521.170383
173	520.9645628
174	520.748272
175	520.506121
176	520.0548336
177	519.603719
178	519.1580534
179	518.8871319
180	518.5463521
181	518.2471811
182	518.0177619
183	517.5741326
184	516.8426327
185	516.1424679
186	515.7393405
187	515.4169536
188	515.2914622
189	514.9888955
190	514.7563194
191	514.2348424
192	513.5948865
193	513.4081733
194	512.9478602
195	512.6981303
196	512.3954938
197	511.7587897
198	511.4336851
199	511.2256768
200	511.0586948
201	510.4202801
202	510.2681119
203	510.0240102
204	509.6427757
205	509.309075
206	509.0427002
207	508.8411348
208	508.2107977
209	507.9822914
210	507.9213896
211	507.8657971
212	507.3803756
213	507.0677112
214	506.7911498
215	506.3888162
216	505.8438012
217	505.2989681
218	505.0661792
219	504.6391106
220	504.5442112
221	504.2885342
222	503.8997503
223	503.8492626
224	503.6928604
225	503.525452
226	503.2089229
227	502.7648817
228	502.2812355
229	501.8337856
230	501.5796571
231	501.5358955
232	501.3411064
233	501.2840519
234	500.9556299
235	500.5487741
236	500.4826199
237	500.223243
238	500.0223356
239	499.5668463
240	499.2748587
241	498.7896347
242	498.6881256
243	498.2410307
244	497.904265
245	497.8112507
246	497.7148906
247	497.2928041
248	497.1292315
249	496.8562722
250	496.2828796
251	495.8901497
252	495.5345925
253	495.4051569
254	494.9599535
255	494.5077968
256	494.293598
257	493.9613452
258	493.8376338
259	493.7564899
260	493.5512614
261	493.158297
262	492.984217
263	492.6566027
264	492.4167332
265	492.1193782
266	491.6161977
267	491.5095872
268	491.3170082
269	491.0336324
270	490.6818409
271	490.2319929
272	489.999167
273	489.8948682
274	489.5411493
275	489.2675343
276	488.9892208
277	488.6150704
278	488.4959926
279	488.3889044
280	488.084607
281	487.8410689
282	487.7258431
283	487.4995617
284	487.3535919
285	487.2981071
286	487.2476291
287	486.9415829
288	486.7842022
289	486.4190205
290	486.2103016
291	485.8756361
292	485.6447356
293	485.2644749
294	485.0176321
295	484.7204073
296	484.4634256
297	484.3239493
298	484.021941
299	483.9396836
300	483.8352866
301	483.6738922
302	483.4395799
303	483.1991128
304	482.9391992
305	482.8803213
306	482.6571502
307	482.4363
308	482.1461692
309	481.7974734
310	481.5094311
311	481.2711602
312	481.0781205
313	480.8806948
314	480.5957642
315	480.4115516
316	480.180885
317	479.9350939
318	479.886287
319	479.5549921
320	479.3233887
321	479.2767637
322	478.9085616
323	478.7440582
324	478.6132247
325	478.498959
326	478.1874725
327	477.9744797
328	477.877632
329	477.6561529
330	477.3937032
331	477.3457116
332	477.0288409
333	476.9443852
334	476.8904097
335	476.8706726
336	476.6318375
337	476.4651351
338	476.3010829
339	475.9779518
340	475.8898375
341	475.7342311
342	475.4798996
343	475.3847567
344	475.1928282
345	474.9904498
346	474.6843758
347	474.4391322
348	474.1891979
349	474.02071
350	473.8675938
351	473.7075415
352	473.4643076
353	473.0946237
354	472.8851492
355	472.8466027
356	472.5185413
357	472.2914073
358	472.0622091
359	471.90621
360	471.6182677
361	471.4767464
362	471.2616873
363	471.152374
364	470.9964024
365	470.6510401
366	470.447117
367	470.3440769
368	470.2113636
369	469.8852403
370	469.638187
371	469.5037484
372	469.2969995
373	469.1019982
374	468.9185873
375	468.8014522
376	468.652318
377	468.4691685
378	468.3955357
379	468.1941454
380	467.9646767
381	467.8628525
382	467.6335556
383	467.3922071
384	467.1592699
385	467.0788478
386	466.8131799
387	466.6150797
388	466.4180912
389	466.2977417
390	466.21572
391	465.9538346
392	465.7641909
393	465.5832663
394	465.4076767
395	465.2419951
396	465.0045326
397	464.8642866
398	464.7326593
399	464.5210854
400	464.4074867
401	464.17998
402	464.0192037
403	463.9161779
404	463.6618957
405	463.4919021
406	463.224508
407	463.0809409
408	462.9735302
409	462.7724071
410	462.5381725
411	462.320762
412	462.1374292
413	461.8453748
414	461.6603649
415	461.5519151
416	461.3579194
417	461.2398817
418	461.1037623
419	460.9753082
420	460.8489819
421	460.7558184
422	460.6327372
423	460.4974675
424	460.2341975
425	460.0567975
426	459.869051
427	459.7844692
428	459.6626442
429	459.6178388
430	459.5634172
431	459.4497025
432	459.2401761
433	459.0947154
434	458.9537204
435	458.9102313
436	458.828313
437	458.6453419
438	458.548011
439	458.3973788
440	458.204468
441	458.1493148
442	458.0217118
443	457.9148405
444	457.7423437
445	457.6571818
446	457.4785739
447	457.2431756
448	457.1927274
449	456.9851674
450	456.8351682
451	456.7381841
452	456.6331215
453	456.5515415
454	456.4129618
455	456.3475488
456	456.1970442
457	456.1346306
458	455.9619494
459	455.8624171
460	455.6749143
461	455.5340543
462	455.3449306
463	455.2617933
464	455.1449562
465	454.9650572
466	454.8681963
467	454.8260506
468	454.653722
469	454.6004731
470	454.5189569
471	454.3388053
472	454.2080932
473	454.008461
474	453.7239302
475	453.5014751
476	453.3674626
477	453.1831354
478	452.9858612
479	452.8028134
480	452.5797319
481	452.5026678
482	452.4354471
483	452.238658
484	452.1291903
485	451.980196
486	451.943341
487	451.8405281
488	451.7343362
489	451.6921282
490	451.5232106
491	451.3713673
492	451.2200848
493	451.0680196
494	450.9310578
495	450.7212535
496	450.6620806
497	450.6274762
498	450.366816
499	450.2639682
500	450.2073972
501	450.0538505
502	449.9994998
503	449.8544981
504	449.8210304
505	449.7447244
506	449.6524712
507	449.5485815
508	449.3849249
509	449.1946091
510	449.0974611
511	448.9905314
512	448.9109544
513	448.8159804
514	448.6782323
515	448.5213733
516	448.4712075
517	448.2922965
518	448.1945772
519	448.0740758
520	447.9025311
521	447.8113361
522	447.6761203
523	447.5344175
524	447.3935521
525	447.3333874
526	447.0788504
527	447.0299248
528	446.777368
529	446.7477039
530	446.5646054
531	446.3733296
532	446.3068809
533	446.2653667
534	446.1054866
535	446.0170872
536	445.8550453
537	445.7788673
538	445.6308571
539	445.6045774
540	445.4792433
541	445.3329385
542	445.2205861
543	445.1639333
544	445.1208607
545	445.0189289
546	444.901541
547	444.7851708
548	444.7375189
549	444.5285576
550	444.4057192
551	444.2312801
552	444.2067434
553	444.0507741
554	443.8695479
555	443.7219493
556	443.6557978
557	443.502728
558	443.3124101
559	443.2836903
560	443.139804
561	443.0406292
562	442.9978411
563	442.8288132
564	442.7961704
565	442.6054296
566	442.4802007
567	442.3654346
568	442.3125664
569	442.1815261
570	442.0284557
571	441.8533505
572	441.7245366
573	441.5893627
574	441.4572619
575	441.3622073
576	441.2712789
577	441.0892283
578	441.0673417
579	441.0039491
580	440.9471352
581	440.8887824
582	440.7409422
583	440.5178694
584	440.3046696
585	440.2569044
586	440.1234606
587	439.9384133
588	439.7990804
589	439.5546541
590	439.4729804
591	439.3534478
592	439.1505492
593	439.0343611
594	438.9519312
595	438.8287892
596	438.7025804
597	438.636659
598	438.4154017
599	438.2601625
600	438.2283213
601	438.1287419
602	437.9423608
603	437.8118162
604	437.7443233
605	437.6911885
606	437.6536825
607	437.5313695
608	437.4639661
609	437.4055498
610	437.3491402
611	437.2423612
612	437.1452205
613	437.07371
614	436.9895279
615	436.7895992
616	436.5751425
617	436.5225586
618	436.494412
619	436.3883201
620	436.2557258
621	436.1826291
622	436.1402845
623	436.055159
624	435.9396463
625	435.7893756
626	435.7013679
627	435.6227685
628	435.4123056
629	435.2934782
630	435.2399451
631	435.0925031
632	435.0447225
633	434.8847704
634	434.8204065
635	434.7182572
636	434.6892075
637	434.6536887
638	434.5895546
639	434.5190697
640	434.4735818
641	434.3630518
642	434.2615826
643	434.1008533
644	433.9815362
645	433.8353628
646	433.7422241
647	433.6412985
648	433.4887115
649	433.2566013
650	433.1242008
651	433.0795662
652	433.0519144
653	432.912867
654	432.7925237
655	432.6640326
656	432.55598
657	432.4051157
658	432.2336707
659	432.1385436
660	432.0432868
661	431.8916648
662	431.826717
663	431.7059221
664	431.646778
665	431.5796535
666	431.3650703
667	431.326746
668	431.2435459
669	431.0971214
670	431.0423697
671	430.9708368
672	430.9142724
673	430.8468162
674	430.7009857
675	430.5369145
676	430.4623967
677	430.3104478
678	430.1262368
679	430.0180984
680	429.9768241
681	429.855241
682	429.788433
683	429.7665095
684	429.5926816
685	429.4626341
686	429.2978006
687	429.237929
688	429.1812509
689	429.0058255
690	428.7888396
691	428.7176022
692	428.6117362
693	428.3753793
694	428.3261672
695	428.2280631
696	428.2079405
697	428.1184017
698	428.0778888
699	427.967566
700	427.8729911
701	427.6394047
702	427.504883
703	427.3963555
704	427.2972118
705	427.2305696
706	427.1783765
707	427.0660051
708	426.9890687
709	426.8469637
710	426.8000762
711	426.6962949
712	426.5634701
713	426.4935966
714	426.4266636
715	426.3319377
716	426.3002654
717	426.2819869
718	426.2157527
719	426.1698321
720	426.0720037
721	426.0270815
722	425.9024921
723	425.7696962
724	425.6854761
725	425.5775795
726	425.4826727
727	425.3869125
728	425.3578205
729	425.2265822
730	425.1711252
731	425.1151036
732	424.936415
733	424.7523571
734	424.6604565
735	424.6265711
736	424.5536166
737	424.4384012
738	424.3735329
739	424.3520562
740	424.304309
741	424.0988855
742	424.0137264
743	423.9685225
744	423.8192717
745	423.6659525
746	423.5531808
747	423.4917495
748	423.4596637
749	423.3397016
750	423.2875858
751	423.1150106
752	423.0400958
753	422.986239
754	422.86104
755	422.8057304
756	422.7458534
757	422.5705738
758	422.4549756
759	422.3985535
760	422.2876457
761	422.1624348
762	422.0661677
763	421.9504707
764	421.8898376
765	421.85621
766	421.7311322
767	421.6295079
768	421.5101103
769	421.4478024
770	421.3391089
771	421.2689243
772	421.1836553
773	421.1148204
774	420.9910757
775	420.9170918
776	420.8594032
777	420.7914565
778	420.6877748
779	420.5493638
780	420.5131668
781	420.3951789
782	420.2087476
783	420.1006604
784	419.9854518
785	419.8698213
786	419.7780123
787	419.5871718
788	419.4596903
789	419.3948919
790	419.3468031
791	419.2259664
792	419.1786191
793	418.9853902
794	418.9243965
795	418.8530222
796	418.7640117
797	418.6523713
798	418.5462676
799	418.4939264
800	418.4255231
801	418.3456558
802	418.2436053
803	418.0718917
804	417.952883
805	417.7689769
806	417.6464348
807	417.5985754
808	417.5218649
809	417.4366121
810	417.2943362
811	417.2718483
812	417.1745235
813	417.0965483
814	417.0475656
815	417.0168505
816	416.9927027
817	416.9502975
818	416.9237244
819	416.8699129
820	416.8496665
821	416.8081958
822	416.6726324
823	416.6131523
824	416.5737053
825	416.5105067
826	416.4016752
827	416.3422943
828	416.2610331
829	416.1275067
830	416.0832917
831	415.9841014
832	415.8435387
833	415.7731924
834	415.6815382
835	415.5936713
836	415.5127051
837	415.4401778
838	415.3204235
839	415.2100321
840	415.1011581
841	415.028455
842	414.9815557
843	414.894946
844	414.8557512
845	414.8399128
846	414.7821818
847	414.7204984
848	414.5539379
849	414.5033865
850	414.4073796
851	414.3191832
852	414.2077984
853	414.1480306
854	414.0429565
855	413.9685175
856	413.9256838
857	413.8806826
858	413.7884585
859	413.6758014
860	413.5761722
861	413.542477
862	413.5092255
863	413.4105792
864	413.3751973
865	413.1929
866	413.1495547
867	413.0458684
868	413.0018933
869	412.9038753
870	412.8509958
871	412.7913759
872	412.6726986
873	412.5716497
874	412.5189868
875	412.4881746
876	412.3571322
877	412.258226
878	412.0923105
879	412.0201266
880	411.8815852
881	411.8243343
882	411.7673173
883	411.7374326
884	411.6493042
885	411.5248794
886	411.4800697
887	411.3830763
888	411.3005373
889	411.2731168
890	411.1624183
891	411.0267732
892	410.8715098
893	410.7670927
894	410.7318095
895	410.6609428
896	410.5897608
897	410.5199727
898	410.4657871
899	410.2820386
900	410.2345977
901	410.2087562
902	410.1051328
903	409.9638096
904	409.8310078
905	409.7195352
906	409.6709763
907	409.5593539
908	409.5033945
909	409.4224605
910	409.3720103
911	409.3180514
912	409.1911394
913	409.0549206
914	409.0326189
915	408.8904248
916	408.7875542
917	408.7278116
918	408.6899751
919	408.6311952
920	408.5713621
921	408.5401547
922	408.4810193
923	408.4216639
924	408.2832758
925	408.1390598
926	408.0743484
927	407.9833537
928	407.8726127
929	407.7037682
930	407.6567777
931	407.5142861
932	407.4777219
933	407.4308852
934	407.2974291
935	407.2028826
936	407.1536063
937	406.9984443
938	406.9427012
939	406.9041444
940	406.8776065
941	406.8376681
942	406.7791347
943	406.7323616
944	406.6650953
945	406.5523757
946	406.4015402
947	406.2664478
948	406.2149449
949	406.17595
950	406.1229646
951	406.0227267
952	405.8679882
953	405.774875
954	405.7278042
955	405.6511454
956	405.5992439
957	405.4684452
958	405.4202269
959	405.2920454
960	405.2080319
961	405.1156679
962	405.0838529
963	405.0626687
964	404.9414102
965	404.8325331
966	404.7906304
967	404.7029073
968	404.6618208
969	404.5830159
970	404.5139057
971	404.3712897
972	404.3538623
973	404.3121805
974	404.2491641
975	404.2305344
976	404.1827984
977	404.0889522
978	403.9907476
979	403.9124838
980	403.8680925
981	403.7438335
982	403.6819292
983	403.5258667
984	403.4947534
985	403.4807469
986	403.4325759
987	403.3170446
988	403.2630672
989	403.1353498
990	403.0076398
991	402.9603193
992	402.8769869
993	402.818167
994	402.7786973
995	402.7349028
996	402.6675781
997	402.5856603
998	402.4715633
999	402.4137398
